ID,Name,Description,ImagePath,PrefabPath
101,地图, ,TestArt/saki,Prefabs/InventoryItem/MapItem
102,卡牌0, ,Art/Card/Card0,
103,卡牌1, ,Art/Card/Card1,
104,卡牌2, ,Art/Card/Card2,
105,卡牌3, ,Art/Card/Card3,
106,卡牌4, ,Art/Card/Card4,
107,卡牌5, ,Art/Card/Card5,
110,物品栏卡牌,,TestArt/saki,Prefabs/InventoryItem/CardItem
108,钥匙1, ,TestArt/sora,Prefabs/Interactable/Key
109,钥匙2, ,TestArt/ririko,Prefabs/Interactable/AnotherKey
111,物品栏钥匙1,,TestArt/ririko,Prefabs/InventoryItem/KeyItem1
112,物品栏钥匙1,,TestArt/ririko,Prefabs/InventoryItem/KeyItem2
201,占卜师, ,ArtAssets/Character/tap-角色-占卜师,Prefabs/Interactable/Fortune_Teller
301,钟, ,,Prefabs/Interactable/Bell
302,狮子, ,ArtAssets/Character/聚光灯动物,Prefab/GameItem/Tiger
303,门, ,TestArt/sora,Prefabs/Interactable/Door
304,打开的门, ,,
305,包裹1, ,ArtAssets/Item/1号,Prefab/GameItem/FlowerBox
306,包裹2, ,ArtAssets/Item/2号,Prefab/GameItem/FlowerBox
307,包裹3, ,ArtAssets/Item/3号,Prefab/GameItem/FlowerBox
308,包裹4, ,ArtAssets/Item/4号,Prefab/GameItem/FlowerBox
309,包裹5, ,ArtAssets/Item/5号,Prefab/GameItem/FlowerBox
310,包裹6, ,ArtAssets/Item/6号,Prefab/GameItem/FlowerBox
311,小羊, ,ArtAssets/Character/Tap-小羊,Prefabs/Interactable/Sheep
